Sales_Date,Product_ID,Product_Name,Price,Cost,Sales_Quantity,Initial_Stock,End_Stock
05/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,975,969
05/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,984,967
05/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,961,948
05/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,967,953
05/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,964,945
05/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,964,953
05/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,978,970
05/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,966,959
06/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
06/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,944,928
06/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,969,966
06/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,967,965
06/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,948,934
06/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,953,946
06/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,945,928
06/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,953,952
06/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,970,957
06/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,959,954
07/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
07/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,928,917
07/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,966,953
07/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,965,962
07/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,934,925
07/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,946,943
07/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,928,919
07/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,952,937
07/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,957,940
07/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,954,940
08/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
08/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,917,897
08/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,953,939
08/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,962,949
08/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,925,918
08/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,943,926
08/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,919,907
08/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,937,917
08/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,940,933
08/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,940,928
09/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,100,1000,900
09/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,1000,1000
09/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,1000,989
09/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,1000,986
09/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,1000,992
09/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,1000,1000
09/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,1000,992
09/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,1000,993
09/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,1000,988
09/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,1000,990
10/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,350,900,550
10/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,1000,998
10/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,989,980
10/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,986,970
10/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,992,974
10/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,1000,996
10/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,992,992
10/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,993,987
10/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,988,981
10/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,990,982
11/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,550,550,0
11/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,998,987
11/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,980,976
11/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,970,962
11/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,974,968
11/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,996,981
11/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,992,992
11/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,987,985
11/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,981,974
11/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,982,971
12/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
12/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,987,985
12/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,976,974
12/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,962,960
12/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,968,961
12/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,981,968
12/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,992,978
12/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,985,985
12/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,974,974
12/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,971,967
13/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
13/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,985,971
13/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,974,956
13/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,960,954
13/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,961,948
13/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,968,956
13/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,978,969
13/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,985,979
13/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,974,966
13/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,967,951
14/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
14/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,971,965
14/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,956,953
14/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,954,951
14/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,948,929
14/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,956,946
14/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,969,955
14/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,979,967
14/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,966,962
14/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,951,945
15/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
15/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,965,953
15/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,953,942
15/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,951,950
15/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,929,911
15/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,946,935
15/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,955,950
15/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,967,948
15/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,962,953
15/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,945,935
16/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,100,1000,900
16/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,1000,981
16/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,1000,994
16/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,1000,1000
16/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,1000,994
16/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,1000,998
16/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,1000,992
16/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,1000,995
16/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,1000,1000
16/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,1000,993
17/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,350,900,550
17/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,981,963
17/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,994,986
17/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,1000,996
17/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,994,986
17/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,998,984
17/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,992,981
17/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,995,976
17/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,1000,1000
17/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,993,977
18/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,550,550,0
18/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,963,957
18/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,986,982
18/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,996,977
18/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,986,970
18/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,984,968
18/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,981,979
18/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,976,960
18/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,1000,989
18/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,977,961
19/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
19/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,957,953
19/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,982,981
19/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,977,976
19/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,970,954
19/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,968,950
19/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,979,979
19/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,960,940
19/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,989,988
19/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,961,950
20/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
20/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,953,937
20/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,981,980
20/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,976,973
20/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,954,949
20/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,950,931
20/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,979,975
20/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,940,935
20/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,988,978
20/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,950,940
21/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
21/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,937,929
21/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,980,961
21/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,973,958
21/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,949,934
21/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,931,929
21/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,975,960
21/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,935,932
21/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,978,978
21/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,940,922
22/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
22/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,929,923
22/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,961,954
22/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,958,940
22/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,934,932
22/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,929,929
22/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,960,952
22/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,932,926
22/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,978,959
22/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,922,905
23/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,100,1000,900
23/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,1000,983
23/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,1000,985
23/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,1000,1000
23/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,1000,993
23/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,1000,994
23/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,1000,998
23/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,1000,985
23/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,1000,990
23/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,1000,981
24/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,350,900,550
24/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,983,968
24/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,985,977
24/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,1000,999
24/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,993,977
24/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,994,990
24/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,998,994
24/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,985,977
24/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,990,990
24/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,981,979
25/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,550,550,0
25/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,968,966
25/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,977,967
25/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,999,984
25/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,977,959
25/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,990,971
25/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,994,994
25/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,977,961
25/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,990,975
25/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,979,972
26/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
26/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,966,947
26/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,967,950
26/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,984,979
26/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,959,956
26/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,971,969
26/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,994,979
26/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,961,948
26/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,975,968
26/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,972,955
27/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
27/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,947,939
27/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,950,950
27/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,979,977
27/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,956,955
27/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,969,966
27/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,979,979
27/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,948,935
27/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,968,953
27/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,955,935
28/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
28/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,939,933
28/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,950,935
28/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,977,958
28/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,955,940
28/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,966,966
28/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,979,963
28/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,935,924
28/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,953,946
28/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,935,917
29/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
29/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,933,921
29/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,935,915
29/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,958,953
29/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,940,927
29/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,966,965
29/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,963,956
29/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,924,924
29/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,946,941
29/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,917,903
30/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,100,1000,900
30/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,1000,982
30/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,1000,984
30/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,1000,996
30/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,1000,1000
30/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,1000,984
30/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,1000,998
30/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,1000,989
30/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,1000,985
30/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,1000,987
31/01/2023,P0006,Baju Kurung Pahang,367.81,139.3,350,900,550
31/01/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,982,974
31/01/2023,P0063,Modern Baju Kurung,120.63,154.65,9,984,964
31/01/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,996,991
31/01/2023,P0066,Batik Maxi Dress,117.26,210.21,9,1000,980
31/01/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,984,971
31/01/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,998,982
31/01/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,989,987
31/01/2023,P0081,Casual Baju Kurung,325.12,298.43,9,985,983
31/01/2023,P0091,Kurta with Batik Print,268.96,142.99,9,987,987
01/02/2023,P0006,Baju Kurung Pahang,367.81,139.3,550,550,0
01/02/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,974,972
01/02/2023,P0063,Modern Baju Kurung,120.63,154.65,9,964,957
01/02/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,991,971
01/02/2023,P0066,Batik Maxi Dress,117.26,210.21,9,980,961
01/02/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,971,969
01/02/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,982,973
01/02/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,987,974
01/02/2023,P0081,Casual Baju Kurung,325.12,298.43,9,983,983
01/02/2023,P0091,Kurta with Batik Print,268.96,142.99,9,987,970
02/02/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
02/02/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,972,971
02/02/2023,P0063,Modern Baju Kurung,120.63,154.65,9,957,949
02/02/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,971,970
02/02/2023,P0066,Batik Maxi Dress,117.26,210.21,9,961,947
02/02/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,969,969
02/02/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,973,966
02/02/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,974,964
02/02/2023,P0081,Casual Baju Kurung,325.12,298.43,9,983,974
02/02/2023,P0091,Kurta with Batik Print,268.96,142.99,9,970,955
03/02/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
03/02/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,971,954
03/02/2023,P0063,Modern Baju Kurung,120.63,154.65,9,949,937
03/02/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,970,961
03/02/2023,P0066,Batik Maxi Dress,117.26,210.21,9,947,941
03/02/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,969,966
03/02/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,966,960
03/02/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,964,945
03/02/2023,P0081,Casual Baju Kurung,325.12,298.43,9,974,972
03/02/2023,P0091,Kurta with Batik Print,268.96,142.99,9,955,955
04/02/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
04/02/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,954,941
04/02/2023,P0063,Modern Baju Kurung,120.63,154.65,9,937,936
04/02/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,961,948
04/02/2023,P0066,Batik Maxi Dress,117.26,210.21,9,941,934
04/02/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,966,952
04/02/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,960,942
04/02/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,945,944
04/02/2023,P0081,Casual Baju Kurung,325.12,298.43,9,972,957
04/02/2023,P0091,Kurta with Batik Print,268.96,142.99,9,955,937
05/02/2023,P0006,Baju Kurung Pahang,367.81,139.3,0,0,0
05/02/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,941,936
05/02/2023,P0063,Modern Baju Kurung,120.63,154.65,9,936,936
05/02/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,948,929
05/02/2023,P0066,Batik Maxi Dress,117.26,210.21,9,934,918
05/02/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,952,948
05/02/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,942,932
05/02/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,944,937
05/02/2023,P0081,Casual Baju Kurung,325.12,298.43,9,957,948
05/02/2023,P0091,Kurta with Batik Print,268.96,142.99,9,937,917
06/02/2023,P0006,Baju Kurung Pahang,367.81,139.3,100,1000,900
06/02/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,1000,994
06/02/2023,P0063,Modern Baju Kurung,120.63,154.65,9,1000,981
06/02/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,1000,989
06/02/2023,P0066,Batik Maxi Dress,117.26,210.21,9,1000,989
06/02/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,1000,988
06/02/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,1000,995
06/02/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,1000,986
06/02/2023,P0081,Casual Baju Kurung,325.12,298.43,9,1000,996
06/02/2023,P0091,Kurta with Batik Print,268.96,142.99,9,1000,998
07/02/2023,P0006,Baju Kurung Pahang,367.81,139.3,350,900,550
07/02/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,994,982
07/02/2023,P0063,Modern Baju Kurung,120.63,154.65,9,981,965
07/02/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,989,970
07/02/2023,P0066,Batik Maxi Dress,117.26,210.21,9,989,982
07/02/2023,P0068,Baju Melayu Luxe Silver,102.69,173.48,9,988,970
07/02/2023,P0076,Baju Melayu Comfort,282.67,140.28,9,995,986
07/02/2023,P0080,Batik Palazzo Pants,120.68,288.32,9,986,968
07/02/2023,P0081,Casual Baju Kurung,325.12,298.43,9,996,981
07/02/2023,P0091,Kurta with Batik Print,268.96,142.99,9,998,994
08/02/2023,P0006,Baju Kurung Pahang,367.81,139.3,550,550,0
08/02/2023,P0056,Baju Kurung Elegance,462.52,132.18,9,982,962
08/02/2023,P0063,Modern Baju Kurung,120.63,154.65,9,965,964
08/02/2023,P0064,Traditional Batik Wrap,423.42,282.4,9,970,962
